"","MITO_ID","Entrez_Gene_ID","Gene_name","Symbol"
"371","MT000371",4513,"['cytochrome c oxidase subunit II']","COX2"
"372","MT001496",116228,"COX20 cytochrome c oxidase assembly factor","COX20"
"373","MT000372",4514,"cytochrome c oxidase III","COX3"
"374","MT000129",1327,"cytochrome c oxidase subunit IV isoform 1","COX4I1"
"375","MT001419",84701,"cytochrome c oxidase subunit IV isoform 2 (lung)","COX4I2"
"376","MT000705",9377,"cytochrome c oxidase subunit Va","COX5A"
"377","MT000130",1329,"cytochrome c oxidase subunit Vb","COX5B"
"378","MT000131",1337,"cytochrome c oxidase subunit VIa polypeptide 1","COX6A1"
"379","MT000132",1339,"cytochrome c oxidase subunit VIa polypeptide 2","COX6A2"
"380","MT000133",1340,"cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous)","COX6B1"
"381","MT001519",125965,"cytochrome c oxidase subunit VIb polypeptide 2 (testis)","COX6B2"
"382","MT000134",1345,"cytochrome c oxidase subunit VIc","COX6C"
"383","MT000135",1346,"cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)","COX7A1"
"384","MT000136",1347,"cytochrome c oxidase subunit VIIa polypeptide 2 (liver)","COX7A2"
"385","MT000699",9167,"cytochrome c oxidase subunit VIIa polypeptide 2 like","COX7A2L"
"386","MT000137",1348,"cytochrome c oxidase subunit VIIa polypeptide 2 (liver) pseudogene 2","COX7A2P2"
"387","MT000138",1349,"cytochrome c oxidase subunit VIIb","COX7B"
"388","MT001579",170712,"cytochrome c oxidase subunit VIIb2","COX7B2"
"389","MT000139",1350,"cytochrome c oxidase subunit VIIc","COX7C"
"390","MT000140",1351,"cytochrome c oxidase subunit VIIIA (ubiquitous)","COX8A"
"391","MT001641",341947,"cytochrome c oxidase subunit VIIIC","COX8C"
"392","MT000144",1371,"coproporphyrinogen oxidase","CPOX"
"393","MT000145",1373,"carbamoyl-phosphate synthase 1, mitochondrial","CPS1"
"394","MT000146",1374,"carnitine palmitoyltransferase 1A (liver)","CPT1A"
"395","MT000147",1375,"carnitine palmitoyltransferase 1B (muscle)","CPT1B"
"396","MT001521",126129,"carnitine palmitoyltransferase 1C","CPT1C"
"397","MT000148",1376,"carnitine palmitoyltransferase 2","CPT2"
"398","MT000149",1384,"carnitine O-acetyltransferase","CRAT"
"399","MT001093",54675,"cardiolipin synthase 1","CRLS1"
"400","MT001094",54677,"carnitine O-octanoyltransferase","CROT"
"401","MT000151",1407,"cryptochrome circadian clock 1","CRY1"
"402","MT000152",1410,"crystallin, α B","CRYAB"
"403","MT000153",1428,"crystallin, mu","CRYM"
"404","MT000154",1431,"citrate synthase","CS"
"405","MT000638",7812,"cold shock domain containing E1, RNA-binding","CSDE1"
"406","MT001191",56474,"CTP synthase 2","CTPS2"
"407","MT000488",5476,"cathepsin A","CTSA"
"408","MT000157",1508,"cathepsin B","CTSB"
"409","MT001449",90353,"cytosolic thiouridylase subunit 1","CTU1"
"410","MT001645",348180,"cytosolic thiouridylase subunit 2 homolog (S. pombe)","CTU2"
"411","MT000158",1525,"coxsackie virus and adenovirus receptor","CXADR"
"412","MT001612",256643,"chromosome X open reading frame 23","CXorf23"
"413","MT000159",1528,"cytochrome b5 type A (microsomal)","CYB5A"
"414","MT001360",80777,"cytochrome b5 type B (outer mitochondrial membrane)","CYB5B"
"415","MT001071",51706,"cytochrome b5 reductase 1","CYB5R1"
"416","MT001069",51700,"cytochrome b5 reductase 2","CYB5R2"
"417","MT000183",1727,"cytochrome b5 reductase 3","CYB5R3"
"418","MT000160",1535,"cytochrome b-245, α polypeptide","CYBA"
"419","MT000161",1536,"cytochrome b-245, β polypeptide","CYBB"
"420","MT000162",1537,"cytochrome c-1","CYC1"
"421","MT001081",54205,"cytochrome c, somatic","CYCS"
"422","MT000167",1583,"cytochrome P450, family 11, subfamily A, polypeptide 1","CYP11A1"
"423","MT000168",1584,"cytochrome P450, family 11, subfamily B, polypeptide 1","CYP11B1"
"424","MT000169",1585,"cytochrome P450, family 11, subfamily B, polypeptide 2","CYP11B2"
"425","MT000170",1586,"cytochrome P450, family 17, subfamily A, polypeptide 1","CYP17A1"
"426","MT000163",1543,"cytochrome P450, family 1, subfamily A, polypeptide 1","CYP1A1"
"427","MT000164",1545,"cytochrome P450, family 1, subfamily B, polypeptide 1","CYP1B1"
"428","MT000171",1591,"cytochrome P450, family 24, subfamily A, polypeptide 1","CYP24A1"
"429","MT000172",1593,"cytochrome P450, family 27, subfamily A, polypeptide 1","CYP27A1"
"430","MT000173",1594,"cytochrome P450, family 27, subfamily B, polypeptide 1","CYP27B1"
"431","MT000165",1565,"cytochrome P450, family 2, subfamily D, polypeptide 6","CYP2D6"
"432","MT000166",1571,"cytochrome P450, family 2, subfamily E, polypeptide 1","CYP2E1"
"433","MT000374",4519,"['cytochrome b']","CYTB"
"434","MT001686",728294,"D-2-hydroxyglutarate dehydrogenase","D2HGDH"
"435","MT001577",168002,"dishevelled-binding antagonist of β-catenin 2","DACT2"
"436","MT000174",1610,"D-amino-acid oxidase","DAO"
"437","MT001613",267012,"D-amino acid oxidase activator","DAOA"
"438","MT000639",7818,"death associated protein 3","DAP3"
"439","MT001138",55157,"aspartyl-tRNA synthetase 2, mitochondrial","DARS2"
"440","MT000175",1622,"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)","DBI"
"441","MT000176",1629,"dihydrolipoamide branched chain transacylase E2","DBT"
"442","MT000683",8816,"DDB1 and CUL4 associated factor 5","DCAF5"
"443","MT001331",79877,"dephospho-CoA kinase domain containing","DCAKD"
"444","MT000977",28960,"decapping enzyme, scavenger","DCPS"
"445","MT000897",23576,"dimethylarginine dimethylaminohydrolase 1","DDAH1"
"446","MT000895",23564,"dimethylarginine dimethylaminohydrolase 2","DDAH2"
"447","MT001089",54541,"DNA-damage-inducible transcript 4","DDIT4"
"448","MT000706",9416,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 23","DDX23"
"449","MT001178",55794,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 28","DDX28"
"450","MT000178",1654,"DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked","DDX3X"
"451","MT000179",1666,"2,4-dienoyl CoA reductase 1, mitochondrial","DECR1"
"452","MT000663",8560,"δ(4)-desaturase, sphingolipid 1","DEGS1"
"453","MT001416",84649,"diacylglycerol O-acyltransferase 2","DGAT2"
"454","MT000181",1716,"deoxyguanosine kinase","DGUOK"
"455","MT001587",200895,"dihydrofolate reductase-like 1","DHFRL1"
"456","MT000182",1723,"dihydroorotate dehydrogenase (quinone)","DHODH"
"457","MT001494",115817,"dehydrogenase/reductase (SDR family) member 1","DHRS1"
"458","MT000759",10202,"dehydrogenase/reductase (SDR family) member 2","DHRS2"
"459","MT000815",10901,"dehydrogenase/reductase (SDR family) member 4","DHRS4"
"460","MT001163",55526,"dehydrogenase E1 and transketolase domain containing 1","DHTKD1"
"461","MT001085",54505,"DEAH (Asp-Glu-Ala-His) box polypeptide 29","DHX29"
"462","MT000861",22907,"DEAH (Asp-Glu-Ala-His) box helicase 30","DHX30"
"463","MT001177",55760,"DEAH (Asp-Glu-Ala-His) box polypeptide 32","DHX32"
"464","MT001457",90957,"DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57","DHX57"
"465","MT001192",56616,"diablo, IAP-binding mitochondrial protein","DIABLO"
"466","MT000184",1730,"diaphanous-related formin 2","DIAPH2"
"467","MT000965",27185,"disrupted in schizophrenia 1","DISC1"
"468","MT000185",1737,"dihydrolipoamide S-acetyltransferase","DLAT"
"469","MT000186",1738,"dihydrolipoamide dehydrogenase","DLD"
"470","MT000187",1743,"dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)","DLST"
"471","MT000998",29958,"dimethylglycine dehydrogenase","DMGDH"
"472","MT000189",1760,"dystrophia myotonica-protein kinase","DMPK"
"473","MT000190",1763,"DNA replication helicase/nuclease 2","DNA2"
"474","MT000297",3301,"DnaJ (Hsp40) homolog, subfamily A, member 1","DNAJA1"
"475","MT000695",9093,"DnaJ (Hsp40) homolog, subfamily A, member 3","DNAJA3"
"476","MT001172",55735,"DnaJ (Hsp40) homolog, subfamily C, member 11","DNAJC11"
"477","MT000990",29103,"DnaJ (Hsp40) homolog, subfamily C, member 15","DNAJC15"
"478","MT001532",131118,"DnaJ (Hsp40) homolog, subfamily C, member 19","DNAJC19"
"479","MT001048",51277,"DnaJ (Hsp40) homolog, subfamily C, member 27","DNAJC27"
"480","MT001403",84277,"DnaJ (Hsp40) homolog, subfamily C, member 30","DNAJC30"
"481","MT000308",3338,"DnaJ (Hsp40) homolog, subfamily C, member 4","DNAJC4"
"482","MT001356",80331,"DnaJ (Hsp40) homolog, subfamily C, member 5","DNAJC5"
"483","MT001687",728489,"DNL-type zinc finger","DNLZ"
"484","MT000746",10059,"dynamin 1-like","DNM1L"
"485","MT000933",26052,"dynamin 3","DNM3"
"486","MT000191",1808,"dihydropyrimidinase-like 2","DPYSL2"
"487","MT000192",1819,"developmentally regulated GTP binding protein 2","DRG2"
"488","MT000193",1832,"desmoplakin","DSP"
"489","MT000194",1841,"deoxythymidylate kinase (thymidylate kinase)","DTYMK"
"490","MT001100",54920,"dihydrouridine synthase 2","DUS2"
"491","MT001245",63904,"dual specificity phosphatase 21","DUSP21"
"492","MT001299",78986,"dual specificity phosphatase 26 (putative)","DUSP26"
"493","MT000195",1854,"deoxyuridine triphosphatase","DUT"
"494","MT000667",8655,"dynein, light chain, LC8-type 1","DYNLL1"
"495","MT001552",140735,"dynein, light chain, LC8-type 2","DYNLL2"
"496","MT000196",1869,"E2F transcription factor 1","E2F1"
"497","MT001514",124454,"glutamyl-tRNA synthetase 2, mitochondrial","EARS2"
"498","MT000198",1891,"enoyl CoA hydratase 1, peroxisomal","ECH1"
"499","MT001149",55268,"enoyl CoA hydratase domain containing 2","ECHDC2"
"500","MT001323",79746,"enoyl CoA hydratase domain containing 3","ECHDC3"
"501","MT000199",1892,"enoyl CoA hydratase, short chain, 1, mitochondrial","ECHS1"
"502","MT000177",1632,"enoyl-CoA δ isomerase 1","ECI1"
"503","MT000780",10455,"enoyl-CoA δ isomerase 2","ECI2"
"504","MT001050",51295,"ECSIT signalling integrator","ECSIT"
"505","MT001243",60678,"eukaryotic elongation factor, selenocysteine-tRNA-specific","EEFSEC"
"506","MT001352",80303,"EF-hand domain family, member D1","EFHD1"
"507","MT000200",1962,"enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase","EHHADH"
"508","MT001241",60528,"elaC ribonuclease Z 2","ELAC2"
"509","MT000201",2002,"ELK1, member of ETS oncogene family","ELK1"
"510","MT000202",2004,"ELK3, ETS-domain protein (SRF accessory protein 2)","ELK3"
"511","MT000203",2006,"elastin","ELN"
"512","MT000730",9694,"ER membrane protein complex subunit 2","EMC2"
"513","MT000769",10328,"ER membrane protein complex subunit 8","EMC8"
"514","MT000205",2021,"endonuclease G","ENDOG"
"515","MT001164",55556,"enolase superfamily member 1","ENOSF1"
"516","MT000206",2034,"endothelial PAS domain protein 1","EPAS1"
"517","MT000207",2043,"EPH receptor A4","EPHA4"
"518","MT000945",26284,"Era-like 12S mitochondrial rRNA chaperone 1","ERAL1"
"519","MT000209",2066,"erb-b2 receptor tyrosine kinase 4","ERBB4"
"520","MT001649",375748,"excision repair cross-complementation group 6-like 2","ERCC6L2"
"521","MT000210",2081,"endoplasmic reticulum to nucleus signaling 1","ERN1"
"522","MT000211",2100,"estrogen receptor 2 (ER β)","ESR2"
"523","MT000212",2108,"electron-transfer-flavoprotein, α polypeptide","ETFA"
"524","MT000213",2109,"electron-transfer-flavoprotein, β polypeptide","ETFB"
"525","MT000214",2110,"electron-transferring-flavoprotein dehydrogenase","ETFDH"
"526","MT000891",23474,"ethylmalonic encephalopathy 1","ETHE1"
"527","MT001270",64850,"ethanolamine-phosphate phospho-lyase","ETNPPL"
"528","MT000738",9941,"endo/exonuclease (5'-3'), endonuclease G-like","EXOG"
"529","MT000215",2139,"EYA transcriptional coactivator and phosphatase 2","EYA2"
"530","MT000337",3992,"fatty acid desaturase 1","FADS1"
"531","MT001369",81889,"fumarylacetoacetate hydrolase domain containing 1","FAHD1"
"532","MT001450",90362,"family with sequence similarity 110, member B","FAM110B"
"533","MT001434",84908,"family with sequence similarity 136, member A","FAM136A"
"534","MT000947",26355,"family with sequence similarity 162, member A","FAM162A"
"535","MT001518",125228,"family with sequence similarity 210, member A","FAM210A"
"536","MT000931",26017,"family with sequence similarity 32, member A","FAM32A"
"537","MT000731",9750,"family with sequence similarity 65, member B","FAM65B"
"538","MT001688",729533,"family with sequence similarity 72, member A","FAM72A"
"539","MT000219",2189,"Fanconi anemia, complementation group G","FANCG"
"540","MT000802",10667,"phenylalanyl-tRNA synthetase 2, mitochondrial","FARS2"
"541","MT000220",2194,"fatty acid synthase","FASN"
"542","MT000817",10922,"Fas-activated serine/threonine kinase","FASTK"
"543","MT001316",79675,"FAST kinase domains 1","FASTKD1"
"544","MT000858",22868,"FAST kinase domains 2","FASTKD2"
"545","MT001304",79072,"FAST kinase domains 3","FASTKD3"
"546","MT001240",60493,"FAST kinase domains 5","FASTKD5"
"547","MT000942",26235,"F-box and leucine-rich repeat protein 4","FBXL4"
"548","MT000912",25793,"F-box protein 7","FBXO7"
"549","MT000221",2224,"farnesyl diphosphate synthase","FDPS"
"550","MT000222",2230,"ferredoxin 1","FDX1"
"551","MT001481",112812,"ferredoxin 1-like","FDX1L"
"552","MT000223",2232,"ferredoxin reductase","FDXR"
"553","MT000224",2235,"ferrochelatase","FECH"
"554","MT000225",2237,"flap structure-specific endonuclease 1","FEN1"
"555","MT000726",9638,"fasciculation and elongation protein zeta 1 (zygin I)","FEZ1"
"556","MT000226",2268,"FGR proto-oncogene, Src family tyrosine kinase","FGR"
"557","MT000227",2271,"fumarate hydratase","FH"
"558","MT000228",2272,"fragile histidine triad","FHIT"
"559","MT000698",9158,"fibroblast growth factor (acidic) intracellular binding protein","FIBP"
"560","MT001016",51024,"fission 1 (mitochondrial outer membrane) homolog (S. cerevisiae)","FIS1"
"561","MT001527",128486,"fat storage-inducing transmembrane protein 2","FITM2"
"562","MT000229",2288,"FK506 binding protein 4, 59kDa","FKBP4"
"563","MT000907",23770,"FK506 binding protein 8, 38kDa","FKBP8"
"564","MT001353",80308,"flavin adenine dinucleotide synthetase 1","FLAD1"
"565","MT001588",201163,"folliculin","FLCN"
"566","MT000981",28982,"feline leukemia virus subgroup C cellular receptor 1","FLVCR1"
"567","MT001414",84624,"fibronectin type III domain containing 1","FNDC1"
"568","MT000230",2308,"forkhead box O1","FOXO1"
"569","MT001165",55572,"FAD-dependent oxidoreductase domain containing 1","FOXRED1"
"570","MT000231",2356,"folylpolyglutamate synthase","FPGS"
"571","MT001664",401024,"fibrous sheath interacting protein 2","FSIP2"
"572","MT000234",2495,"ferritin, heavy polypeptide 1","FTH1"
"573","MT001477",94033,"ferritin mitochondrial","FTMT"
"574","MT000999",29960,"FtsJ RNA methyltransferase homolog 2 (E. coli)","FTSJ2"
"575","MT001549",139341,"FUN14 domain containing 1","FUNDC1"
"576","MT001296",65991,"FUN14 domain containing 2","FUNDC2"
"577","MT000232",2395,"frataxin","FXN"
"578","MT000235",2534,"FYN proto-oncogene, Src family tyrosine kinase","FYN"
"579","MT001003",50486,"G0/G1 switch 2","G0S2"
"580","MT000854",11337,"GABA(A) receptor-associated protein","GABARAP"
"581","MT000904",23710,"GABA(A) receptor-associated protein like 1","GABARAPL1"
"582","MT000855",11345,"GABA(A) receptor-associated protein-like 2","GABARAPL2"
"583","MT000906",23766,"GABA(A) receptors associated protein like 3, pseudogene","GABARAPL3"
"584","MT001452",90480,"growth arrest and DNA-damage-inducible, γ interacting protein 1","GADD45GIP1"
"585","MT000237",2617,"glycyl-tRNA synthetase","GARS"
"586","MT000469",5188,"glutamyl-tRNA(Gln) amidotransferase, subunit B","GATB"
"587","MT001619",283459,"glutamyl-tRNA(Gln) amidotransferase, subunit C","GATC"
"588","MT000238",2628,"glycine amidinotransferase (L-arginine:glycine amidinotransferase)","GATM"
"589","MT000239",2631,"glioblastoma amplified sequence","GBAS"
"590","MT000672",8729,"golgi brefeldin A resistant guanine nucleotide exchange factor 1","GBF1"
"591","MT000890",23464,"glycine C-acetyltransferase","GCAT"
"592","MT000240",2639,"glutaryl-CoA dehydrogenase","GCDH"
"593","MT000241",2645,"glucokinase (hexokinase 4)","GCK"
"594","MT000242",2646,"glucokinase (hexokinase 4) regulator","GCKR"
"595","MT000250",2729,"glutamate-cysteine ligase, catalytic subunit","GCLC"
"596","MT000251",2730,"glutamate-cysteine ligase, modifier subunit","GCLM"
"597","MT000244",2653,"glycine cleavage system protein H (aminomethyl carrier)","GCSH"
"598","MT001082",54332,"ganglioside induced differentiation associated protein 1","GDAP1"
"599","MT001680",554250,"growth differentiation factor 5 opposite strand","GDF5OS"
"600","MT000245",2671,"growth factor, augmenter of liver regeneration","GFER"
"601","MT001443",85476,"G elongation factor, mitochondrial 1","GFM1"
"602","MT001409",84340,"G elongation factor, mitochondrial 2","GFM2"
"603","MT001301",79017,"γ-glutamylcyclotransferase","GGCT"
"604","MT001676",449520,"gametogenetin binding protein 1 (pseudogene)","GGNBP1"
"605","MT000957",27069,"growth hormone inducible transmembrane protein","GHITM"
"606","MT001156",55340,"GTPase, IMAP family member 5","GIMAP5"
"607","MT001568",155038,"GTPase, IMAP family member 8","GIMAP8"
"608","MT000246",2697,"gap junction protein, α 1, 43kDa","GJA1"
"609","MT000247",2710,"glycerol kinase","GK"
"610","MT000248",2712,"glycerol kinase 2","GK2"
"611","MT000249",2713,"glycerol kinase 3 pseudogene","GK3P"
"612","MT000252",2731,"glycine dehydrogenase (decarboxylating)","GLDC"
"613","MT001019",51031,"glyoxalase domain containing 4","GLOD4"
"614","MT000254",2745,"glutaredoxin (thioltransferase)","GLRX"
"615","MT001014",51022,"glutaredoxin 2","GLRX2"
"616","MT001040",51218,"glutaredoxin 5","GLRX5"
"617","MT000253",2744,"glutaminase","GLS"
"618","MT000963",27165,"glutaminase 2 (liver, mitochondrial)","GLS2"
"619","MT000255",2746,"glutamate dehydrogenase 1","GLUD1"
"620","MT000256",2747,"glutamate dehydrogenase 2","GLUD2"
"621","MT000257",2752,"glutamate-ammonia ligase","GLUL"
"622","MT000765",10249,"glycine-N-acyltransferase","GLYAT"
"623","MT001469",92292,"glycine-N-acyltransferase-like 1","GLYATL1"
"624","MT001598",219970,"glycine-N-acyltransferase-like 2","GLYATL2"
"625","MT001657",389396,"glycine-N-acyltransferase-like 3","GLYATL3"
"626","MT001535",132158,"glycerate kinase","GLYCTK"
"627","MT000258",2760,"GM2 ganglioside activator","GM2A"
"628","MT000995",29925,"GDP-mannose pyrophosphorylase B","GMPPB"
"629","MT000774",10399,"guanine nucleotide binding protein (G protein), β polypeptide 2-like 1","GNB2L1"
"630","MT001091",54552,"guanine nucleotide binding protein-like 3 (nucleolar)-like","GNL3L"
"631","MT000657",8443,"glyceronephosphate O-acyltransferase","GNPAT"
"632","MT001253",64083,"golgi phosphoprotein 3 (coat-protein)","GOLPH3"
"633","MT000259",2806,"glutamic-oxaloacetic transaminase 2, mitochondrial","GOT2"
"634","MT001229",57678,"glycerol-3-phosphate acyltransferase, mitochondrial","GPAM"
"635","MT001561",150763,"glycerol-3-phosphate acyltransferase 2, mitochondrial","GPAT2"
"636","MT000261",2819,"glycerol-3-phosphate dehydrogenase 1 (soluble)","GPD1"
"637","MT000262",2820,"glycerol-3-phosphate dehydrogenase 2 (mitochondrial)","GPD2"
"638","MT000263",2852,"G protein-coupled estrogen receptor 1","GPER1"
"639","MT001185",55890,"G protein-coupled receptor, class C, group 5, member C","GPRC5C"
"640","MT001421",84706,"glutamic pyruvate transaminase (alanine aminotransferase) 2","GPT2"
"641","MT000264",2876,"glutathione peroxidase 1","GPX1"
"642","MT000265",2879,"glutathione peroxidase 4","GPX4"
"643","MT000870",23151,"GRAM domain containing 4","GRAMD4"
"644","MT000266",2896,"granulin","GRN"
"645","MT001350",80273,"GrpE-like 1, mitochondrial (E. coli)","GRPEL1"
"646","MT001541",134266,"GrpE-like 2, mitochondrial (E. coli)","GRPEL2"
"647","MT000268",2926,"G-rich RNA sequence binding factor 1","GRSF1"
"648","MT001188",56169,"gasdermin C","GSDMC"
"649","MT000269",2931,"glycogen synthase kinase 3 α","GSK3A"
"650","MT000270",2932,"glycogen synthase kinase 3 β","GSK3B"
"651","MT000271",2936,"glutathione reductase","GSR"
"652","MT001647",373156,"glutathione S-transferase kappa 1","GSTK1"
"653","MT000272",2950,"glutathione S-transferase pi 1","GSTP1"
"654","MT000273",2954,"glutathione S-transferase zeta 1","GSTZ1"
"655","MT001444",85865,"GTP-binding protein 10 (putative)","GTPBP10"
"656","MT001420",84705,"GTP binding protein 3 (mitochondrial)","GTPBP3"
"657","MT000986",29083,"GTP-binding protein 8 (putative)","GTPBP8"
"658","MT001242",60558,"GUF1 GTPase homolog (S. cerevisiae)","GUF1"
"659","MT000274",3002,"granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)","GZMB"
"660","MT000723",9563,"hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)","H6PD"
"661","MT000893",23498,"3-hydroxyanthranilate 3,4-dioxygenase","HAAO"
"662","MT000279",3033,"hydroxyacyl-CoA dehydrogenase","HADH"
"663","MT000277",3030,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), α subunit","HADHA"
"664","MT000278",3032,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), β subunit","HADHB"
"665","MT000276",3029,"hydroxyacylglutathione hydrolase","HAGH"
"666","MT000691",9001,"huntingtin-associated protein 1","HAP1"
"667","MT000887",23438,"histidyl-tRNA synthetase 2, mitochondrial","HARS2"
"668","MT000781",10456,"HCLS1 associated protein X-1","HAX1"
"669","MT000280",3052,"holocytochrome c synthase","HCCS"
"670","MT000281",3054,"host cell factor C1","HCFC1"
"671","MT000282",3059,"hematopoietic cell-specific Lyn substrate 1","HCLS1"
"672","MT001012",51020,"HD domain containing 2","HDDC2"
"673","MT001423",84717,"hepatoma-derived growth factor-related protein 2","HDGFRP2"
"674","MT001373",81932,"haloacid dehalogenase-like hydrolase domain containing 3","HDHD3"
"675","MT001134",55127,"HEAT repeat containing 1","HEATR1"
"676","MT001006",50865,"heme binding protein 1","HEBP1"
"677","MT000899",23593,"heme binding protein 2","HEBP2"
"678","MT001056",51409,"HemK methyltransferase family member 1","HEMK1"
"679","MT000687",8924,"HECT and RLD domain containing E3 ubiquitin protein ligase 2","HERC2"
"680","MT000284",3082,"hepatocyte growth factor (hepapoietin A; scatter factor)","HGF"
"681","MT000839",11112,"3-hydroxyisobutyrate dehydrogenase","HIBADH"
"682","MT000943",26275,"3-hydroxyisobutyryl-CoA hydrolase","HIBCH"
"683","MT000285",3091,"hypoxia inducible factor 1, α subunit (basic helix-loop-helix transcription factor)","HIF1A"
"684","MT000929",25994,"HIG1 hypoxia inducible domain family, member 1A","HIGD1A"
"685","MT001582",192286,"HIG1 hypoxia inducible domain family, member 2A","HIGD2A"
"686","MT001417",84681,"histidine triad nucleotide binding protein 2","HINT2"
"687","MT001542",135114,"histidine triad nucleotide binding protein 3","HINT3"
"688","MT000286",3096,"human immunodeficiency virus type I enhancer binding protein 1","HIVEP1"
"689","MT000287",3098,"hexokinase 1","HK1"
"690","MT000288",3099,"hexokinase 2","HK2"
"691","MT000289",3101,"hexokinase 3 (white cell)","HK3"
"692","MT000290",3141,"holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase)","HLCS"
"693","MT000291",3155,"3-hydroxymethyl-3-methylglutaryl-CoA lyase","HMGCL"
"694","MT000292",3158,"3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial)","HMGCS2"
"695","MT001482",112817,"4-hydroxy-2-oxoglutarate aldolase 1","HOGA1"
"696","MT000293",3219,"homeobox B9","HOXB9"
"697","MT000674",8739,"harakiri, BCL2 interacting protein","HRK"
"698","MT000763",10247,"heat-responsive protein 12","HRSP12"
"699","MT001560",150274,"HscB mitochondrial iron-sulfur cluster co-chaperone","HSCB"
"700","MT000275",3028,"hydroxysteroid (17-β) dehydrogenase 10","HSD17B10"
"701","MT000296",3295,"hydroxysteroid (17-β) dehydrogenase 4","HSD17B4"
"702","MT000641",7923,"hydroxysteroid (17-β) dehydrogenase 8","HSD17B8"
"703","MT000294",3283,"hydroxy-δ-5-steroid dehydrogenase, 3 β- and steroid δ-isomerase 1","HSD3B1"
"704","MT000295",3284,"hydroxy-δ-5-steroid dehydrogenase, 3 β- and steroid δ-isomerase 2","HSD3B2"
"705","MT001380",83693,"hydroxysteroid dehydrogenase like 1","HSDL1"
"706","MT001396",84263,"hydroxysteroid dehydrogenase like 2","HSDL2"
"707","MT001436",84941,"hematopoietic SH2 domain containing","HSH2D"
"708","MT000304",3320,"heat shock protein 90kDa α (cytosolic), class A member 1","HSP90AA1"
"709","MT000305",3326,"heat shock protein 90kDa α (cytosolic), class B member 1","HSP90AB1"
"710","MT000298",3303,"heat shock 70kDa protein 1A","HSPA1A"
"711","MT000299",3305,"heat shock 70kDa protein 1-like","HSPA1L"
"712","MT000300",3306,"heat shock 70kDa protein 2","HSPA2"
"713","MT000301",3308,"heat shock 70kDa protein 4","HSPA4"
"714","MT000302",3309,"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)","HSPA5"
"715","MT000303",3313,"heat shock 70kDa protein 9 (mortalin)","HSPA9"
"716","MT000962",27129,"heat shock 27kDa protein family, member 7 (cardiovascular)","HSPB7"
"717","MT000306",3329,"heat shock 60kDa protein 1 (chaperonin)","HSPD1"
"718","MT000307",3336,"heat shock 10kDa protein 1","HSPE1"
"719","MT000972",27429,"HtrA serine peptidase 2","HTRA2"
"720","MT000283",3064,"huntingtin","HTT"
"721","MT001171",55699,"isoleucyl-tRNA synthetase 2, mitochondrial","IARS2"
"722","MT001586",200205,"IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae)","IBA57"
"723","MT000309",3396,"immature colon carcinoma transcript 1","ICT1"
"724","MT000310",3416,"insulin-degrading enzyme","IDE"
"725","MT000311",3417,"isocitrate dehydrogenase 1 (NADP+), soluble","IDH1"
"726","MT000312",3418,"isocitrate dehydrogenase 2 (NADP+), mitochondrial","IDH2"
"727","MT000313",3419,"isocitrate dehydrogenase 3 (NAD+) α","IDH3A"
"728","MT000314",3420,"isocitrate dehydrogenase 3 (NAD+) β","IDH3B"
"729","MT000315",3421,"isocitrate dehydrogenase 3 (NAD+) γ","IDH3G"
"730","MT000316",3422,"isopentenyl-diphosphate δ isomerase 1","IDI1"
"731","MT000686",8870,"immediate early response 3","IER3"
"732","MT000317",3429,"interferon, α-inducible protein 27","IFI27"
"733","MT000236",2537,"interferon, α-inducible protein 6","IFI6"
"734","MT000318",3433,"interferon-induced protein with tetratricopeptide repeats 2","IFIT2"
"735","MT000319",3437,"interferon-induced protein with tetratricopeptide repeats 3","IFIT3"
"736","MT000320",3479,"insulin-like growth factor 1 (somatomedin C)","IGF1"
"737","MT000321",3609,"interleukin enhancer binding factor 3, 90kDa","ILF3"
"738","MT001583",196294,"IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae)","IMMP1L"
"739","MT001387",83943,"IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)","IMMP2L"
"740","MT000827",10989,"inner membrane protein, mitochondrial","IMMT"
"741","MT001260",64423,"inverted formin, FH2 and WH2 domain containing","INF2"
"742","MT000878",23288,"IQ motif containing E","IQCE"
