Gene.primaryIdentifier	Gene.name	Gene.symbol	Gene.description	Gene.chr	Gene.mitoEvidenceMitoCarta	Gene.mitoEvidenceIMPI	Gene.mitoEvidenceGO	Gene.mitoEvidenceHumanProteinAtlas	Gene.MTSipsort	Gene.MTSmitofates	Gene.MTSmitoprot	Gene.MTStargetP
ENSG00000164241	401207	C5orf63	chromosome 5 open reading frame 63	5	true	true	true	true	1.0	0.937	0.7215	0.863
ENSG00000204564	""	C6orf136	chromosome 6 open reading frame 136	6	true	true	true	false	1.0	0.391	0.8333	0.789
ENSG00000130349	51250	C6orf203	chromosome 6 open reading frame 203	6	true	true	true	false	0.0	0.148	0.8307	0.264
ENSG00000164898	154791	C7orf55	chromosome 7 open reading frame 55	7	true	true	true	false	1.0	0.597	0.9041	0.843
ENSG00000213563	414919	C8orf82	chromosome 8 open reading frame 82	8	true	true	false	false	1.0	0.424	0.4229	0.825
ENSG00000165233	84270	C9orf89	chromosome 9 open reading frame 89	9	false	true	true	true	0.0	0.0	0.2962	0.115
ENSG00000174990	763	CA5A	carbonic anhydrase VA, mitochondrial	16	true	true	true	false	1.0	0.996	0.8123	0.442
ENSG00000169239	11238	CA5B	carbonic anhydrase VB, mitochondrial	X	true	true	true	true	1.0	0.996	0.9447	0.888
ENSG00000179218	811	CALR	calreticulin	19	false	true	false	false	0.0	0.0	0.0017	0.02
ENSG00000070808	815	CAMK2A	calcium/calmodulin-dependent protein kinase II alpha	5	false	true	true	false	0.0	0.012	0.1819	0.11
ENSG00000144712	23066	CAND2	cullin-associated and neddylation-dissociated 2 (putative)	3	false	true	false	false	0.0	0.006	0.3088	0.074
ENSG00000127022	821	CANX	calnexin	5	false	true	false	false	0.0	0.0	0.0014	0.019
ENSG00000110888	65981	CAPRIN2	caprin family member 2	12	false	true	true	false	0.0	0.0	0.0107	0.104
ENSG00000116489	829	CAPZA1	capping protein (actin filament) muscle Z-line, alpha 1	1	false	true	false	false	0.0	0.0	0.114	0.055
ENSG00000213995	55739	CARKD	carbohydrate kinase domain containing	13	true	true	true	false	0.0	0.012	0.1239	0.08
ENSG00000134905	79587	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial (putative)	13	true	true	true	true	0.0	0.662	0.4831	0.759
ENSG00000106144	835	CASP2	caspase 2, apoptosis-related cysteine peptidase	7	false	true	true	false	0.0	0.0	0.0875	0.569
ENSG00000064012	841	CASP8	caspase 8, apoptosis-related cysteine peptidase	2	true	true	true	true	0.0	0.0	0.087	0.038
ENSG00000143318	844	CASQ1	calsequestrin 1 (fast-twitch, skeletal muscle)	1	false	true	true	false	0.0	0.0	0.3471	0.114
ENSG00000145439	84869	CBR4	carbonyl reductase 4	4	true	true	true	false	0.0	0.075	0.9824	0.698
ENSG00000137944	56267	CCBL2	cysteine conjugate-beta lyase 2	1	true	true	true	false	1.0	0.818	0.9966	0.918
ENSG00000005059	55013	CCDC109B	coiled-coil domain containing 109B	4	true	true	true	false	1.0	0.78	0.945	0.799
ENSG00000164366	133957	CCDC127	coiled-coil domain containing 127	5	true	true	false	false	0.0	0.019	0.0622	0.148
ENSG00000164051	79714	CCDC51	coiled-coil domain containing 51	3	true	true	true	true	1.0	0.916	0.254	0.839
ENSG00000160124	131076	CCDC58	coiled-coil domain containing 58	3	true	true	true	true	0.0	0.0	0.0146	0.059
ENSG00000137500	60492	CCDC90B	coiled-coil domain containing 90B	11	true	true	true	true	1.0	0.942	0.9854	0.94
ENSG00000158402	995	CDC25C	cell division cycle 25C	5	true	true	false	false	0.0	0.0	0.074	0.268
ENSG00000170312	983	CDK1	cyclin-dependent kinase 1	10	false	true	true	false	0.0	0.0	0.0195	0.068
ENSG00000223510	146822	CDRT15	CMT1A duplicated region transcript 15	17	false	true	false	false	1.0	0.634	0.9982	0.756
ENSG00000101290	8760	CDS2	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2	20	false	true	true	false	0.0	0.0	0.0392	0.106
ENSG00000218739	""	CEBPZOS	CEBPZ opposite strand	2	false	true	true	false	0.0	0.005	0.3283	0.084
ENSG00000069998	27440	CECR5	cat eye syndrome chromosome region, candidate 5	22	true	true	true	true	0.0	0.949	0.9729	0.878
ENSG00000121289	84902	CEP89	centrosomal protein 89kDa	19	true	true	true	false	0.0	0.716	0.8955	0.821
ENSG00000172757	1072	CFL1	cofilin 1 (non-muscle)	11	false	true	false	false	0.0	0.004	0.4397	0.155
ENSG00000280071	8209	CH507-9B2.3	Protein LOC102724023; Uncharacterized protein 	21	false	true	false	false	0.0	0.993	0.9712	0.936
ENSG00000172586	118487	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	10	true	true	true	true	1.0	0.107	0.8041	0.802
ENSG00000250479	""	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10	22	true	true	true	true	1.0	0.013	0.4981	0.872
ENSG00000106153	51142	CHCHD2	coiled-coil-helix-coiled-coil-helix domain containing 2	7	true	true	true	true	1.0	0.132	0.9734	0.899
ENSG00000106554	54927	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3	7	true	true	true	true	0.0	0.0	0.0668	0.137
ENSG00000163528	131474	CHCHD4	coiled-coil-helix-coiled-coil-helix domain containing 4	3	true	true	true	true	0.0	0.0	0.0667	0.119
ENSG00000125611	84269	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	2	true	true	true	true	0.0	0.055	0.199	0.089
ENSG00000159685	84303	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6	3	true	true	true	true	0.0	0.0	0.0068	0.095
ENSG00000016391	55349	CHDH	choline dehydrogenase	3	true	true	true	false	0.0	0.965	0.9248	0.957
ENSG00000187446	11261	CHP1	calcineurin-like EF-hand protein 1	15	false	true	false	false	0.0	0.0	0.037	0.101
ENSG00000122873	55847	CISD1	CDGSH iron sulfur domain 1	10	true	true	true	true	0.0	0.0	0.6221	0.12
ENSG00000145354	493856	CISD2	CDGSH iron sulfur domain 2	4	true	true	true	false	0.0	0.078	0.3208	0.391
ENSG00000277972	""	CISD3	CDGSH iron sulfur domain 3	17	false	true	true	false	1.0	0.585	0.5089	0.877
ENSG00000166165	1152	CKB	creatine kinase, brain	14	false	true	true	false	0.0	0.013	0.0168	0.164
ENSG00000223572	""	CKMT1A	creatine kinase, mitochondrial 1A	15	true	true	true	false	1.0	0.996	0.8597	0.921
ENSG00000237289	""	CKMT1B	creatine kinase, mitochondrial 1B	15	false	true	true	false	1.0	0.996	0.8597	0.921
ENSG00000131730	1160	CKMT2	creatine kinase, mitochondrial 2 (sarcomeric)	5	true	true	true	false	0.0	0.996	0.7787	0.619
ENSG00000169504	25932	CLIC4	chloride intracellular channel 4	1	true	true	true	false	0.0	0.0	0.0042	0.069
ENSG00000162129	81570	CLPB	ClpB homolog, mitochondrial AAA ATPase chaperonin	11	true	true	true	false	1.0	0.999	0.9767	0.969
ENSG00000125656	8192	CLPP	caseinolytic mitochondrial matrix peptidase proteolytic subunit	19	true	true	true	true	1.0	0.831	0.9915	0.932
ENSG00000166855	10845	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	15	true	true	true	true	0.0	0.41	0.9734	0.499
ENSG00000132361	23277	CLUH	clustered mitochondria (cluA/CLU1) homolog	17	false	true	false	false	0.0	0.0	0.0341	0.058
ENSG00000125246	171425	CLYBL	citrate lyase beta like	13	true	true	true	false	1.0	0.998	0.9985	0.962
ENSG00000187118	152100	CMC1	C-x(9)-C motif containing 1	3	true	true	true	false	0.0	0.0	0.0514	0.087
ENSG00000103121	56942	CMC2	C-x(9)-C motif containing 2	16	true	true	true	true	0.0	0.0	0.0089	0.071
ENSG00000182712	100272147	CMC4	C-x(9)-C motif containing 4	X	true	true	true	true	0.0	0.009	0.0354	0.078
ENSG00000134326	129607	CMPK2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial	2	true	true	true	true	1.0	0.983	0.9807	0.958
ENSG00000106603	55744	COA1	cytochrome c oxidase assembly factor 1 homolog	7	true	true	true	true	1.0	0.683	0.9887	0.834
ENSG00000183978	28958	COA3	cytochrome c oxidase assembly factor 3	17	true	true	true	true	0.0	0.0	0.0181	0.104
ENSG00000181924	51287	COA4	cytochrome c oxidase assembly factor 4 homolog	11	true	true	true	true	0.0	0.0	0.0599	0.16
ENSG00000183513	493753	COA5	cytochrome c oxidase assembly factor 5	2	true	true	true	true	0.0	0.0	0.0041	0.027
ENSG00000168275	388753	COA6	cytochrome c oxidase assembly factor 6	1	true	true	true	true	0.0	0.152	0.0515	0.501
ENSG00000162377	65260	COA7	cytochrome c oxidase assembly factor 7 (putative)	1	true	true	true	true	0.0	0.0	0.0388	0.05
ENSG00000068120	80347	COASY	CoA synthase	17	true	true	true	false	0.0	0.659	0.464	0.567
ENSG00000165644	118881	COMTD1	catechol-O-methyltransferase domain containing 1	10	true	true	true	false	0.0	0.016	0.7548	0.219
ENSG00000135469	93058	COQ10A	coenzyme Q10A	12	true	true	true	false	1.0	0.774	0.6774	0.812
ENSG00000115520	80219	COQ10B	coenzyme Q10B	2	true	true	true	false	1.0	0.985	0.9926	0.881
ENSG00000173085	27235	COQ2	coenzyme Q2 4-hydroxybenzoate polyprenyltransferase	4	true	true	true	false	0.0	0.976	0.9253	0.959
ENSG00000132423	51805	COQ3	coenzyme Q3 methyltransferase	6	true	true	true	true	1.0	0.698	0.9962	0.849
ENSG00000167113	51117	COQ4	coenzyme Q4	9	true	true	true	false	1.0	0.996	0.9958	0.889
ENSG00000110871	84274	COQ5	coenzyme Q5, methyltransferase	12	true	true	true	true	0.0	0.605	0.9734	0.745
ENSG00000119723	51004	COQ6	coenzyme Q6 monooxygenase	14	true	true	true	false	1.0	0.981	0.8948	0.933
ENSG00000167186	10229	COQ7	coenzyme Q7 homolog, ubiquinone (yeast)	16	true	true	true	false	1.0	0.989	0.9989	0.94
ENSG00000088682	57017	COQ9	coenzyme Q9	16	true	true	true	false	1.0	0.939	0.9881	0.96
ENSG00000006695	1352	COX10	COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor	17	true	true	true	true	0.0	0.996	0.3922	0.434
ENSG00000166260	1353	COX11	COX11 cytochrome c oxidase copper chaperone	17	true	true	true	false	1.0	0.996	0.7411	0.817
ENSG00000178449	84987	COX14	COX14 cytochrome c oxidase assembly factor	12	true	true	true	true	0.0	0.05	0.03	0.169
ENSG00000014919	1355	COX15	cytochrome c oxidase assembly homolog 15 (yeast)	10	true	true	true	true	1.0	0.869	0.9755	0.899
ENSG00000133983	51241	COX16	COX16 cytochrome c oxidase assembly homolog	14	true	true	true	false	1.0	0.556	0.9282	0.31
ENSG00000138495	10063	COX17	COX17 cytochrome c oxidase copper chaperone	3	true	true	true	true	0.0	0.0	0.0246	0.085
ENSG00000163626	285521	COX18	COX18 cytochrome c oxidase assembly factor	4	true	true	true	false	1.0	0.41	0.9258	0.863
ENSG00000240230	90639	COX19	COX19 cytochrome c oxidase assembly factor	7	true	true	true	false	0.0	0.004	0.1075	0.281
ENSG00000203667	116228	COX20	COX20 cytochrome c oxidase assembly factor	1	true	true	true	true	0.0	0.0	0.0081	0.056
ENSG00000131143	1327	COX4I1	cytochrome c oxidase subunit IV isoform 1	16	true	true	true	true	0.0	0.996	0.9807	0.781
ENSG00000131055	84701	COX4I2	cytochrome c oxidase subunit IV isoform 2 (lung)	20	true	true	true	false	1.0	0.929	0.528	0.716
ENSG00000178741	9377	COX5A	cytochrome c oxidase subunit Va	15	true	true	true	false	1.0	0.996	0.8249	0.945
ENSG00000135940	1329	COX5B	cytochrome c oxidase subunit Vb	2	true	true	true	true	1.0	1.0	0.9908	0.944
ENSG00000111775	1337	COX6A1	cytochrome c oxidase subunit VIa polypeptide 1	12	true	true	true	false	1.0	0.924	0.7865	0.929
ENSG00000156885	1339	COX6A2	cytochrome c oxidase subunit VIa polypeptide 2	16	true	true	true	false	1.0	0.999	0.2347	0.752
ENSG00000126267	1340	COX6B1	cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous)	19	true	true	true	true	0.0	0.003	0.0539	0.105
ENSG00000160471	125965	COX6B2	cytochrome c oxidase subunit VIb polypeptide 2 (testis)	19	true	true	true	false	0.0	0.005	0.0044	0.092
ENSG00000164919	1345	COX6C	cytochrome c oxidase subunit VIc	8	true	true	true	true	1.0	0.673	0.7198	0.723
ENSG00000161281	1346	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	19	true	true	true	false	1.0	0.997	0.9911	0.911
ENSG00000112695	1347	COX7A2	cytochrome c oxidase subunit VIIa polypeptide 2 (liver)	6	true	true	true	false	1.0	0.996	0.9991	0.842
ENSG00000115944	9167	COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like	2	true	true	true	true	0.0	0.179	0.0325	0.237
ENSG00000131174	1349	COX7B	cytochrome c oxidase subunit VIIb	X	true	true	true	false	1.0	0.996	0.9694	0.836
ENSG00000170516	170712	COX7B2	cytochrome c oxidase subunit VIIb2	4	false	true	true	false	1.0	0.749	0.8655	0.766
ENSG00000127184	1350	COX7C	cytochrome c oxidase subunit VIIc	5	true	true	true	false	1.0	0.813	0.9194	0.598
ENSG00000176340	1351	COX8A	cytochrome c oxidase subunit VIIIA (ubiquitous)	11	true	true	true	false	1.0	0.996	0.8861	0.889
ENSG00000187581	""	COX8C	cytochrome c oxidase subunit VIIIC	14	true	true	true	false	1.0	0.905	0.985	0.954
ENSG00000080819	1371	CPOX	coproporphyrinogen oxidase	3	true	true	true	true	0.0	0.996	0.6002	0.458
ENSG00000104324	10404	CPQ	carboxypeptidase Q	8	false	true	false	false	0.0	0.015	0.5231	0.191
ENSG00000021826	1373	CPS1	carbamoyl-phosphate synthase 1, mitochondrial	2	true	true	true	false	1.0	0.758	0.9674	0.86
ENSG00000110090	1374	CPT1A	carnitine palmitoyltransferase 1A (liver)	11	true	true	true	true	0.0	0.01	0.0025	0.125
ENSG00000205560	1375	CPT1B	carnitine palmitoyltransferase 1B (muscle)	22	true	true	true	false	0.0	0.0	0.0032	0.108
ENSG00000169169	126129	CPT1C	carnitine palmitoyltransferase 1C	19	true	true	true	false	0.0	0.0	0.0068	0.092
ENSG00000157184	1376	CPT2	carnitine palmitoyltransferase 2	1	true	true	true	true	1.0	0.996	0.9923	0.915
ENSG00000095321	1384	CRAT	carnitine O-acetyltransferase	9	true	true	true	false	1.0	0.958	0.9908	0.816
ENSG00000088766	54675	CRLS1	cardiolipin synthase 1	20	true	true	true	false	1.0	0.992	0.8502	0.849
ENSG00000008405	1407	CRY1	cryptochrome circadian clock 1	12	true	true	true	false	0.0	0.186	0.5828	0.392
ENSG00000109846	1410	CRYAB	crystallin, alpha B	11	false	true	true	false	0.0	0.024	0.3697	0.319
ENSG00000116791	1429	CRYZ	crystallin, zeta (quinone reductase)	1	true	true	false	false	0.0	0.029	0.1845	0.554
ENSG00000062485	1431	CS	citrate synthase	12	true	true	true	true	1.0	0.996	0.8446	0.675
ENSG00000124207	1434	CSE1L	CSE1 chromosome segregation 1-like (yeast)	20	false	true	false	false	0.0	0.0	0.0637	0.077
ENSG00000070770	1459	CSNK2A2	casein kinase 2, alpha prime polypeptide	16	false	true	false	false	0.0	0.021	0.0819	0.486
ENSG00000204435	""	CSNK2B	casein kinase 2, beta polypeptide	6	false	true	false	false	0.0	0.0	0.0363	0.052
ENSG00000255730	""	CTC-435M10.3	Uncharacterized protein 	19	false	true	false	false	0.0	0.0	0.1331	0.076
ENSG00000064601	5476	CTSA	cathepsin A	20	false	true	true	false	0.0	0.0	0.1024	0.011
ENSG00000109861	1075	CTSC	cathepsin C	11	false	true	false	false	0.0	0.0	0.0025	0.028
ENSG00000174177	348180	CTU2	cytosolic thiouridylase subunit 2 homolog (S. pombe)	16	false	true	true	true	0.0	0.0	0.0084	0.052
ENSG00000165182	254158	CXorf58	chromosome X open reading frame 58	X	false	true	false	false	0.0	0.968	0.9822	0.757
ENSG00000166347	1528	CYB5A	cytochrome b5 type A (microsomal)	18	true	true	true	false	0.0	0.0	0.0142	0.069
ENSG00000103018	80777	CYB5B	cytochrome b5 type B (outer mitochondrial membrane)	16	true	true	true	false	0.0	0.0	0.0111	0.063
ENSG00000159348	51706	CYB5R1	cytochrome b5 reductase 1	1	false	true	true	true	0.0	0.0	0.6619	0.088
ENSG00000100243	1727	CYB5R3	cytochrome b5 reductase 3	22	true	true	true	false	0.0	0.009	0.7346	0.042
ENSG00000179091	1537	CYC1	cytochrome c-1	8	true	true	true	true	0.0	0.995	0.8091	0.831
ENSG00000172115	54205	CYCS	cytochrome c, somatic	7	true	true	true	true	0.0	0.006	0.0318	0.078
ENSG00000140459	1583	CYP11A1	cytochrome P450, family 11, subfamily A, polypeptide 1	15	true	true	true	false	1.0	0.996	0.8531	0.648
ENSG00000160882	1584	CYP11B1	cytochrome P450, family 11, subfamily B, polypeptide 1	8	false	true	true	false	1.0	0.996	0.9974	0.54
ENSG00000179142	1585	CYP11B2	cytochrome P450, family 11, subfamily B, polypeptide 2	8	true	true	true	false	1.0	0.997	0.9824	0.72
ENSG00000148795	1586	CYP17A1	cytochrome P450, family 17, subfamily A, polypeptide 1	10	false	true	true	false	0.0	0.008	0.6447	0.118
ENSG00000019186	1591	CYP24A1	cytochrome P450, family 24, subfamily A, polypeptide 1	20	true	true	true	true	1.0	0.7	0.9882	0.929
ENSG00000135929	1593	CYP27A1	cytochrome P450, family 27, subfamily A, polypeptide 1	2	true	true	true	true	1.0	0.997	0.9975	0.931
ENSG00000111012	1594	CYP27B1	cytochrome P450, family 27, subfamily B, polypeptide 1	12	true	true	true	false	1.0	0.996	0.6759	0.892
ENSG00000180902	728294	D2HGDH	D-2-hydroxyglutarate dehydrogenase	2	true	true	true	false	1.0	0.963	0.9642	0.785
ENSG00000132676	7818	DAP3	death associated protein 3	1	true	true	true	true	0.0	0.982	0.8964	0.869
ENSG00000117593	55157	DARS2	aspartyl-tRNA synthetase 2, mitochondrial	1	true	true	true	true	1.0	0.585	0.998	0.88
ENSG00000155368	1622	DBI	diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein)	2	true	true	true	false	0.0	0.0	0.2442	0.068
ENSG00000137992	1629	DBT	dihydrolipoamide branched chain transacylase E2	1	true	true	true	true	1.0	0.989	0.9977	0.942
ENSG00000172992	79877	DCAKD	dephospho-CoA kinase domain containing	17	true	true	true	false	0.0	0.01	0.139	0.221
ENSG00000169738	51181	DCXR	dicarbonyl/L-xylulose reductase	17	true	true	false	false	1.0	0.079	0.8191	0.868
ENSG00000099977	""	DDT	D-dopachrome tautomerase	22	false	true	false	true	0.0	0.004	0.014	0.115
ENSG00000182810	55794	DDX28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	16	true	true	true	true	0.0	0.975	0.991	0.827
ENSG00000104325	1666	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	8	true	true	true	true	1.0	0.989	0.9847	0.87
ENSG00000077044	""	DGKD	diacylglycerol kinase, delta 130kDa	2	false	true	false	false	0.0	0.0	8.0E-4	0.117
ENSG00000114956	1716	DGUOK	deoxyguanosine kinase	2	true	true	true	false	1.0	0.996	0.9563	0.871
ENSG00000178700	200895	DHFRL1	dihydrofolate reductase-like 1	3	false	true	true	false	0.0	0.084	0.0219	0.121
ENSG00000102967	1723	DHODH	dihydroorotate dehydrogenase (quinone)	16	true	true	true	true	0.0	0.996	0.3239	0.157
ENSG00000157379	115817	DHRS1	dehydrogenase/reductase (SDR family) member 1	14	true	true	true	false	0.0	0.041	0.9126	0.582
ENSG00000100867	10202	DHRS2	dehydrogenase/reductase (SDR family) member 2	14	false	true	true	true	1.0	0.908	0.9053	0.893
ENSG00000187630	""	DHRS4L2	dehydrogenase/reductase (SDR family) member 4 like 2	14	false	true	false	false	1.0	0.982	0.9979	0.941
ENSG00000181192	55526	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	10	true	true	true	true	1.0	0.983	0.9825	0.851
ENSG00000132153	22907	DHX30	DEAH (Asp-Glu-Ala-His) box helicase 30	3	true	true	true	true	1.0	0.012	0.006	0.674
ENSG00000184047	56616	DIABLO	diablo, IAP-binding mitochondrial protein	12	true	true	true	true	1.0	0.598	0.987	0.971
ENSG00000150768	1737	DLAT	dihydrolipoamide S-acetyltransferase	11	true	true	true	true	0.0	0.996	0.6085	0.725
ENSG00000091140	1738	DLD	dihydrolipoamide dehydrogenase	7	true	true	true	true	1.0	0.996	0.9127	0.908
ENSG00000119689	1743	DLST	dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex)	14	true	true	true	true	1.0	0.999	0.9995	0.894
ENSG00000132837	29958	DMGDH	dimethylglycine dehydrogenase	5	true	true	true	false	1.0	0.995	0.9937	0.843
ENSG00000104936	1760	DMPK	dystrophia myotonica-protein kinase	19	true	true	true	false	0.0	0.0	0.0159	0.117
ENSG00000138346	1763	DNA2	DNA replication helicase/nuclease 2	10	true	true	true	true	0.0	0.0	0.0234	0.04
ENSG00000103423	""	DNAJA3	DnaJ (Hsp40) homolog, subfamily A, member 3	16	true	true	true	true	1.0	0.333	0.9837	0.717
ENSG00000007923	55735	DNAJC11	DnaJ (Hsp40) homolog, subfamily C, member 11	1	true	true	true	false	0.0	0.0	0.0477	0.065
ENSG00000120675	29103	DNAJC15	DnaJ (Hsp40) homolog, subfamily C, member 15	13	true	true	true	false	0.0	0.004	0.0818	0.24
ENSG00000205981	131118	DNAJC19	DnaJ (Hsp40) homolog, subfamily C, member 19	3	true	true	true	false	0.0	0.028	0.6015	0.344
ENSG00000176410	84277	DNAJC30	DnaJ (Hsp40) homolog, subfamily C, member 30	7	true	true	true	false	1.0	0.85	0.8125	0.957
ENSG00000110011	3338	DNAJC4	DnaJ (Hsp40) homolog, subfamily C, member 4	11	true	true	true	false	1.0	0.815	0.9679	0.939
ENSG00000213221	728489	DNLZ	DNL-type zinc finger	9	false	true	true	true	1.0	1.0	0.9999	0.897
ENSG00000087470	10059	DNM1L	dynamin 1-like	12	true	true	true	false	0.0	0.0	0.0502	0.062
ENSG00000197959	26052	DNM3	dynamin 3	1	false	true	true	false	0.0	0.007	0.4814	0.057
ENSG00000092964	1808	DPYSL2	dihydropyrimidinase-like 2	8	false	true	true	false	1.0	0.0	0.3916	0.157
ENSG00000168393	1841	DTYMK	deoxythymidylate kinase (thymidylate kinase)	2	true	true	true	true	1.0	0.004	0.5778	0.588
ENSG00000133878	78986	DUSP26	dual specificity phosphatase 26 (putative)	8	true	true	true	false	1.0	0.551	0.9624	0.846
ENSG00000128951	1854	DUT	deoxyuridine triphosphatase	15	true	true	true	false	1.0	0.996	0.9987	0.786
ENSG00000103356	124454	EARS2	glutamyl-tRNA synthetase 2, mitochondrial	16	true	true	true	true	1.0	0.94	0.9936	0.909
ENSG00000104823	1891	ECH1	enoyl CoA hydratase 1, peroxisomal	19	true	true	true	false	1.0	0.996	0.9802	0.93
ENSG00000093144	55862	ECHDC1	ethylmalonyl-CoA decarboxylase 1	6	true	true	false	false	0.0	0.379	0.868	0.425
ENSG00000121310	55268	ECHDC2	enoyl CoA hydratase domain containing 2	1	true	true	true	false	1.0	0.896	0.6906	0.852
ENSG00000134463	79746	ECHDC3	enoyl CoA hydratase domain containing 3	10	true	true	true	true	1.0	0.427	0.976	0.913
ENSG00000127884	1892	ECHS1	enoyl CoA hydratase, short chain, 1, mitochondrial	10	true	true	true	true	1.0	0.996	0.9954	0.915
ENSG00000167969	1632	ECI1	enoyl-CoA delta isomerase 1	16	true	true	true	false	1.0	0.998	0.9852	0.892
ENSG00000198721	10455	ECI2	enoyl-CoA delta isomerase 2	6	true	true	true	false	1.0	0.112	0.9773	0.938
ENSG00000130159	51295	ECSIT	ECSIT signalling integrator	19	true	true	true	false	0.0	0.492	0.9932	0.69
ENSG00000102189	8411	EEA1	early endosome antigen 1	12	false	true	false	false	0.0	0.732	0.8757	0.59
ENSG00000254772	1937	EEF1G	eukaryotic translation elongation factor 1 gamma	11	false	true	false	true	0.0	0.038	0.1211	0.414
ENSG00000024422	30846	EHD2	EH-domain containing 2	19	false	true	false	false	1.0	0.854	0.3721	0.743
ENSG00000107581	8661	EIF3A	eukaryotic translation initiation factor 3, subunit A	10	false	true	false	false	0.0	0.01	0.1234	0.173
ENSG00000006744	60528	ELAC2	elaC ribonuclease Z 2	17	true	true	true	false	1.0	0.939	0.9853	0.817
ENSG00000126767	2002	ELK1	ELK1, member of ETS oncogene family	X	false	true	true	false	0.0	0.006	0.1083	0.058
ENSG00000131148	10328	EMC8	ER membrane protein complex subunit 8	16	false	true	true	false	0.0	0.012	0.6244	0.095
ENSG00000167136	2021	ENDOG	endonuclease G	9	true	true	true	false	0.0	0.116	0.7631	0.728
ENSG00000132199	55556	ENOSF1	enolase superfamily member 1	18	false	true	true	false	1.0	0.154	0.9382	0.719
ENSG00000086289	54749	EPDR1	ependymin related 1	7	false	true	false	false	0.0	0.099	0.7445	0.057
ENSG00000143819	2052	EPHX1	epoxide hydrolase 1, microsomal (xenobiotic)	1	false	true	false	false	0.0	0.003	0.2401	0.032
ENSG00000136628	2058	EPRS	glutamyl-prolyl-tRNA synthetase	1	false	true	false	false	0.0	0.0	0.0078	0.075
ENSG00000132591	26284	ERAL1	Era-like 12S mitochondrial rRNA chaperone 1	17	true	true	true	true	1.0	0.854	0.9588	0.916
ENSG00000178568	2066	ERBB4	erb-b2 receptor tyrosine kinase 4	2	false	true	true	false	0.0	0.004	0.0084	0.023
ENSG00000187672	26059	ERC2	ELKS/RAB6-interacting/CAST family member 2	3	false	true	false	false	1.0	0.364	0.2451	0.626
ENSG00000182150	375748	ERCC6L2	excision repair cross-complementation group 6-like 2	9	false	true	true	false	0.0	0.0	0.0278	0.22
ENSG00000140009	2100	ESR2	estrogen receptor 2 (ER beta)	14	false	true	true	false	0.0	0.0	0.0509	0.104
ENSG00000140374	2108	ETFA	electron-transfer-flavoprotein, alpha polypeptide	15	true	true	true	true	1.0	0.997	0.9863	0.763
ENSG00000105379	2109	ETFB	electron-transfer-flavoprotein, beta polypeptide	19	true	true	true	true	0.0	0.083	0.2458	0.207
ENSG00000171503	2110	ETFDH	electron-transferring-flavoprotein dehydrogenase	4	true	true	true	false	0.0	0.996	0.8956	0.285
ENSG00000105755	23474	ETHE1	ethylmalonic encephalopathy 1	19	true	true	true	true	1.0	0.997	0.9036	0.888
ENSG00000164089	64850	ETNPPL	ethanolamine-phosphate phospho-lyase	4	false	true	true	false	0.0	0.05	0.0096	0.277
ENSG00000157036	9941	EXOG	endo/exonuclease (5'-3'), endonuclease G-like	3	true	true	true	false	1.0	0.991	0.9944	0.856
ENSG00000180185	81889	FAHD1	fumarylacetoacetate hydrolase domain containing 1	16	true	true	true	true	0.0	0.123	0.8532	0.582
ENSG00000115042	51011	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A	2	true	true	false	false	1.0	0.79	0.5737	0.881
ENSG00000144199	151313	FAHD2B	fumarylacetoacetate hydrolase domain containing 2B	2	false	true	false	false	1.0	0.884	0.7123	0.921
ENSG00000212747	441518	FAM127C	family with sequence similarity 127, member C	X	false	true	false	false	1.0	0.809	0.9627	0.743
ENSG00000035141	84908	FAM136A	family with sequence similarity 136, member A	2	true	true	false	true	0.0	0.0	0.1058	0.129
ENSG00000051009	84067	FAM160A2	family with sequence similarity 160, member A2	11	false	true	false	true	1.0	0.841	0.8278	0.709
ENSG00000114023	26355	FAM162A	family with sequence similarity 162, member A	3	true	true	true	true	1.0	0.533	0.073	0.775
ENSG00000103254	65990	FAM173A	family with sequence similarity 173, member A	16	false	true	false	false	0.0	0.0	0.0234	0.075
ENSG00000222011	222234	FAM185A	family with sequence similarity 185, member A	7	true	true	false	false	1.0	0.778	0.6778	0.634
